,chapter_number,word,count
0,1,me,12
1,1,saying,2
2,1,lying,1
3,1,the,90
4,1,time,8
5,1,started,1
6,1,hedge,1
7,1,cut,1
8,1,life,1
9,1,getting,3
10,1,fond,1
11,1,to-night,1
12,1,thousand,1
13,1,printed,1
14,1,toast,1
15,1,good,3
16,1,burn,1
17,1,yes,1
18,1,down,23
19,1,did,3
20,1,playing,1
21,1,high,2
22,1,trouble,1
23,1,tunnel,1
24,1,next,1
25,1,few,2
26,1,straight,1
27,1,pretend,1
28,1,question,1
29,1,solid,1
30,1,curiosity,1
31,1,legs,1
32,1,larger,2
33,1,hurt,1
34,1,please,1
35,1,any,4
36,1,letters,1
37,1,lock,1
38,1,fallen,1
39,1,friends,1
40,1,was,53
41,1,got,4
42,1,except,1
43,1,reading,1
44,1,almost,1
45,1,right,4
46,1,by,6
47,1,slippery,1
48,1,burnt,1
49,1,end,2
50,1,shut,1
51,1,telescopes,1
52,1,stairs,1
53,1,sort,3
54,1,longitude,2
55,1,more,1
56,1,own,2
57,1,lost,1
58,1,watch,2
59,1,might,4
60,1,three-legged,1
61,1,begin,1
62,1,roof,1
63,1,ten,1
64,1,but,21
65,1,heap,1
66,1,slowly,1
67,1,wonder,6
68,1,thing,2
69,1,across,2
70,1,bring,1
71,1,coming,1
72,1,top,2
73,1,alice,28
74,1,seen,3
75,1,your,1
76,1,natural,1
77,1,side,1
78,1,to,74
79,1,knew,1
80,1,daisy-chain,1
81,1,practice,1
82,1,many,2
83,1,sadly,1
84,1,make,2
85,1,country,1
86,1,noticed,2
87,1,dreamy,1
88,1,sight,1
89,1,doorway,1
90,1,sound,1
91,1,funny,1
92,1,finger,1
93,1,respectable,1
94,1,brave,1
95,1,pretending,1
96,1,jar,2
97,1,forgotten,2
98,1,tiny,1
99,1,pop,1
100,1,quite,4
101,1,bleeds,1
102,1,histories,1
103,1,knife,1
104,1,white,2
105,1,of,41
106,1,minute,1
107,1,begun,2
108,1,blown,1
109,1,which,9
110,1,without,2
111,1,written,1
112,1,tea-time,1
113,1,finished,2
114,1,croquet,1
115,1,remarkable,1
116,1,re,1
117,1,she,80
118,1,been,1
119,1,like,11
120,1,little,15
121,1,feet,2
122,1,happens,2
123,1,nice,3
124,1,into,9
125,1,enough,1
126,1,hear,2
127,1,field,1
128,1,middle,1
129,1,close,2
130,1,than,1
131,1,small,3
132,1,rabbit-hole,3
133,1,surprised,1
134,1,worth,1
135,1,dull,1
136,1,plenty,1
137,1,would,7
138,1,tired,2
139,1,beasts,1
140,1,back,2
141,1,fountains,1
142,1,simple,1
143,1,occurred,1
144,1,thought,8
145,1,disagree,1
146,1,oh,4
147,1,knowledge,1
148,1,scolded,1
149,1,antipathies,1
150,1,glad,1
151,1,buttered,1
152,1,turkey,1
153,1,because,1
154,1,there,12
155,1,half,1
156,1,her,26
157,1,all,10
158,1,longed,1
159,1,ma,1
160,1,moment,4
161,1,herself,13
162,1,no,11
163,1,certainly,1
164,1,saucer,1
165,1,people,4
166,1,a,52
167,1,then,5
168,1,deeply,1
169,1,common,1
170,1,were,8
171,1,candle,3
172,1,waiting,1
173,1,sides,1
174,1,from,3
175,1,dinah,5
176,1,hurry,1
177,1,come,3
178,1,under,3
179,1,chapter,1
180,1,with,11
181,1,home,1
182,1,wind,1
183,1,locks,1
184,1,bats,4
185,1,s,8
186,1,very,23
187,1,out-of-the-way,2
188,1,set,1
189,1,past,1
190,1,again,4
191,1,waited,1
192,1,flame,1
193,1,new,1
194,1,hurried,1
195,1,somewhere,2
196,1,wouldn,1
197,1,upon,4
198,1,shall,5
199,1,before,5
200,1,will,1
201,1,well,7
202,1,catch,1
203,1,hardly,1
204,1,seldom,1
205,1,waistcoat-pocket,2
206,1,this,13
207,1,pink,1
208,1,possibly,1
209,1,size,2
210,1,nothing,7
211,1,ignorant,1
212,1,paper,1
213,1,other,2
214,1,severely,1
215,1,much,6
216,1,fear,1
217,1,filled,1
218,1,t,5
219,1,rate,2
220,1,large,3
221,1,ve,2
222,1,presently,1
223,1,name,1
224,1,that,27
225,1,underneath,1
226,1,couldn,1
227,1,ran,2
228,1,having,3
229,1,they,6
230,1,glass,3
231,1,lamps,1
232,1,making,1
233,1,schoolroom,1
234,1,longer,1
235,1,great,2
236,1,fifteen,1
237,1,expecting,1
238,1,made,2
239,1,through,6
240,1,belong,1
241,1,gave,1
242,1,beginning,1
243,1,should,2
244,1,earnestly,1
245,1,those,2
246,1,going,6
247,1,eaten,1
248,1,second,1
249,1,behind,2
250,1,corner,2
251,1,you,19
252,1,if,10
253,1,at,11
254,1,loveliest,1
255,1,poor,4
256,1,eye,1
257,1,likely,1
258,1,bottle,4
259,1,seem,1
260,1,get,7
261,1,cherry-tart,1
262,1,dipped,1
263,1,burning,1
264,1,earth,2
265,1,doors,2
266,1,late,2
267,1,centre,1
268,1,m,1
269,1,heads,1
270,1,rat-hole,1
271,1,drop,1
272,1,leave,1
273,1,golden,3
274,1,such,3
275,1,milk,1
276,1,tried,5
277,1,dream,1
278,1,hall,4
279,1,are,1
280,1,though,2
281,1,dear,3
282,1,once,4
283,1,sticks,1
284,1,what,10
285,1,one,9
286,1,it,67
287,1,wondered,1
288,1,came,3
289,1,things,5
290,1,fall,4
291,1,fancy,1
292,1,miles,2
293,1,talking,1
